package	candidate_version	selection_state
libcddb2	1.3.2-7.1	selected
libcdio-cdda2t64	10.2+2.0.2-1+b1	selected
libcdio-paranoia2t64	10.2+2.0.2-1+b1	selected
libcdio19t64	2.2.0-4.1~deb13u1	selected
libcdparanoia0	3.10.2+debian-14+b1	selected
libcdr-0.1-1	0.1.7-1+b3	selected
libcdt5	2.42.4-3	selected
libcfitsio10t64	4.6.2-2	selected
libcgraph6	2.42.4-3	selected
libcholmod5	1:7.10.1+dfsg-1	selected
libchromaprint1	1.5.1-7	selected
libcjson1	1.7.18-3.1+deb13u1	selected
libclang-common-19-dev	1:19.1.7-3+b1	selected
libclang-cpp19	1:19.1.7-3+b1	selected
libclang1-19	1:19.1.7-3+b1	selected
libclucene-contribs1t64	2.3.3.4+dfsg-1.2+b1	selected
libclucene-core1t64	2.3.3.4+dfsg-1.2+b1	selected
libcmis-0.6-6t64	0.6.2-2.1+b1	selected
libcodec2-1.2	1.2.0-3	selected
libcolamd3	1:7.10.1+dfsg-1	selected
libcolord-gtk4-1t64	0.3.1-1+b1	selected
libcolorhug2	1.4.7-3	selected
libcompfaceg1	1:1.5.2-6.1	selected
libconfig++11	1.7.3-2	selected
libcrack2	2.9.6-5.2+b1	selected
libcrypt-dev	1:4.4.38-1	selected
libcryptsetup12	2:2.7.5-2	selected
libcue2	2.2.1-4.1+b2	selected
libcupsfilters1t64	1.28.17-6+deb13u1	selected
libdbus-glib-1-2	0.114-1	selected
libdbusmenu-qt5-2	0.9.3+16.04.20160218-3+b1	selected
libdc1394-25	2.2.6-5	selected
libde265-0	1.0.15-1+deb13u1	selected
libdecor-0-0	0.2.2-2	selected
libdevmapper-event1.02.1	2:1.02.205-2	selected
libdevmapper1.02.1	2:1.02.205-2	selected
libdisplay-info2	0.2.0-2	selected
libdouble-conversion3	3.3.1-1	selected
libdrm-amdgpu1	2.4.124-2	selected
libdrm-common	2.4.124-2	selected
libdrm-intel1	2.4.124-2	selected
libdrm-nouveau2	2.4.124-2	selected
libdrm-radeon1	2.4.124-2	selected
libdrm2	2.4.124-2	selected
libdv4t64	1.0.0-17.1+b1	selected
libdvbpsi10	1.3.3-1+b2	selected
libdvdnav4	6.1.1-3+b1	selected
libdvdread8t64	6.1.3-2	selected
